final_arrival_time,status,number
2026-02-28 12:01:00+00:00,Arrived,BA 296
2026-02-28 12:02:00+00:00,Arrived,BA 1477
2026-02-28 12:03:00+00:00,Arrived,BA 829
2026-02-28 12:05:00+00:00,Arrived,BA 853
2026-02-28 12:06:00+00:00,Arrived,BA 365
2026-02-28 12:07:00+00:00,Arrived,JU 210
2026-02-28 12:09:00+00:00,Arrived,BA 192
2026-02-28 12:11:00+00:00,Arrived,BA 901
2026-02-28 12:13:00+00:00,Arrived,BA 272
2026-02-28 12:15:00+00:00,Arrived,BA 276
2026-02-28 12:16:00+00:00,Arrived,BA 711
2026-02-28 12:18:00+00:00,Arrived,AH 2054
2026-02-28 12:19:00+00:00,Arrived,VS 94
2026-02-28 12:21:00+00:00,Arrived,BA 1303
2026-02-28 12:22:00+00:00,Arrived,BA 945
2026-02-28 12:23:00+00:00,Arrived,BA 607
2026-02-28 12:25:00+00:00,Arrived,AA 134
2026-02-28 12:26:00+00:00,Arrived,AA 56
2026-02-28 12:28:00+00:00,Arrived,BA 280
2026-02-28 12:30:00+00:00,Arrived,BA 567
2026-02-28 12:31:00+00:00,Arrived,TP 1352
2026-02-28 12:32:00+00:00,Arrived,LH 906
2026-02-28 12:34:00+00:00,Arrived,BA 208
2026-02-28 12:35:00+00:00,Arrived,AA 50
2026-02-28 12:37:00+00:00,Arrived,MS 777
2026-02-28 12:38:00+00:00,Arrived,BA 118
2026-02-28 12:40:00+00:00,Arrived,BA 475
2026-02-28 12:41:00+00:00,Arrived,BA 341
2026-02-28 12:43:00+00:00,Arrived,SV 119
2026-02-28 12:44:00+00:00,Arrived,BA 975
2026-02-28 12:45:00+00:00,Arrived,BA 1395
2026-02-28 12:47:00+00:00,Arrived,BA 288
2026-02-28 12:48:00+00:00,Arrived,BA 36
2026-02-28 12:50:00+00:00,Arrived,BA 242
2026-02-28 12:52:00+00:00,Arrived,BA 791
2026-02-28 12:53:00+00:00,Arrived,BA 1479
2026-02-28 12:54:00+00:00,Arrived,VL 2474
2026-02-28 12:56:00+00:00,Arrived,SK 531
2026-02-28 12:57:00+00:00,Arrived,LX 332
2026-02-28 12:58:00+00:00,Arrived,BA 923
2026-02-28 12:59:00+00:00,Arrived,BA 769
2026-02-28 13:01:00+00:00,Arrived,UA 923
2026-02-28 13:02:00+00:00,Arrived,BA 777
2026-02-28 13:03:00+00:00,Arrived,BA 134
2026-02-28 13:05:00+00:00,Arrived,BA 809
2026-02-28 13:06:00+00:00,Arrived,EI 714
2026-02-28 13:08:00+00:00,Arrived,BA 1331
2026-02-28 13:09:00+00:00,Arrived,BA 729
2026-02-28 13:10:00+00:00,Arrived,AA 136
2026-02-28 13:12:00+00:00,Arrived,BA 593
2026-02-28 13:14:00+00:00,Arrived,EI 164
2026-02-28 13:15:00+00:00,Arrived,BA 867
2026-02-28 13:20:00+00:00,Arrived,BA 459
2026-02-28 13:22:00+00:00,Arrived,LX 354
2026-02-28 13:23:00+00:00,Arrived,AA 78
2026-02-28 13:25:00+00:00,Arrived,BA 495
2026-02-28 13:26:00+00:00,Arrived,EW 7462
2026-02-28 13:28:00+00:00,Arrived,AF 1780
2026-02-28 13:29:00+00:00,Arrived,TK 1989
2026-02-28 13:30:00+00:00,Arrived,BA 477
2026-02-28 13:31:00+00:00,Arrived,TK 1931
2026-02-28 13:32:00+00:00,Arrived,BA 551
2026-02-28 13:33:00+00:00,Arrived,BA 503
2026-02-28 13:35:00+00:00,Arrived,BA 683
2026-02-28 13:39:00+00:00,Arrived,BA 82
2026-02-28 13:42:00+00:00,Arrived,OS 335
2026-02-28 13:44:00+00:00,Arrived,BA 891
2026-02-28 13:47:00+00:00,Arrived,QR 7
2026-02-28 13:50:00+00:00,Arrived,LM 675
2026-02-28 13:51:00+00:00,Arrived,BA 1421
2026-02-28 13:52:00+00:00,Arrived,KL 1009
2026-02-28 13:53:00+00:00,Arrived,BA 821
2026-02-28 13:55:00+00:00,Arrived,BA 461
2026-02-28 13:56:00+00:00,Arrived,WS 2
2026-02-28 13:57:00+00:00,Arrived,VY 8960
2026-02-28 13:58:00+00:00,Arrived,EK 29
2026-02-28 14:00:00+00:00,Arrived,KU 101
2026-02-28 14:02:00+00:00,Arrived,BA 731
2026-02-28 14:03:00+00:00,Arrived,BA 877
2026-02-28 14:05:00+00:00,Arrived,VS 156
2026-02-28 14:07:00+00:00,Arrived,BA 1493
2026-02-28 14:08:00+00:00,Arrived,BA 713
2026-02-28 14:09:00+00:00,Arrived,EI 916
2026-02-28 14:10:00+00:00,Arrived,SK 805
2026-02-28 14:12:00+00:00,Arrived,BA 831
2026-02-28 14:13:00+00:00,Arrived,BA 1447
2026-02-28 14:14:00+00:00,Arrived,BA 309
2026-02-28 14:17:00+00:00,Arrived,BA 84
2026-02-28 14:18:00+00:00,Arrived,BA 274
2026-02-28 14:20:00+00:00,Arrived,SV 121
2026-02-28 14:21:00+00:00,Arrived,BA 286
2026-02-28 14:23:00+00:00,Arrived,VY 6310
2026-02-28 14:25:00+00:00,Arrived,BA 256
2026-02-28 14:26:00+00:00,Arrived,LH 908
2026-02-28 14:28:00+00:00,Arrived,SQ 308
2026-02-28 14:29:00+00:00,Arrived,BA 845
2026-02-28 14:31:00+00:00,Arrived,BA 423
2026-02-28 14:32:00+00:00,Arrived,TK 1985
2026-02-28 14:34:00+00:00,Arrived,BA 583
2026-02-28 14:35:00+00:00,Arrived,DL 3
2026-02-28 14:38:00+00:00,Arrived,LA 8084
2026-02-28 14:40:00+00:00,Arrived,BA 895
2026-02-28 14:41:00+00:00,Arrived,BA 381
2026-02-28 14:43:00+00:00,Arrived,BA 104
2026-02-28 14:44:00+00:00,Arrived,BA 437
2026-02-28 14:45:00+00:00,Arrived,AM 7
