final_departure_time,status,number
2026-02-28 12:00:00+00:00,Departed,IB 716
2026-02-28 12:01:00+00:00,Departed,VS 19
2026-02-28 12:03:00+00:00,Departed,BA 344
2026-02-28 12:05:00+00:00,Departed,BA 213
2026-02-28 12:06:00+00:00,Departed,TG 911
2026-02-28 12:07:00+00:00,Departed,AA 733
2026-02-28 12:09:00+00:00,Departed,BA 285
2026-02-28 12:11:00+00:00,Departed,BA 93
2026-02-28 12:13:00+00:00,Departed,BA 660
2026-02-28 12:14:00+00:00,Departed,BA 1448
2026-02-28 12:15:00+00:00,Departed,BA 734
2026-02-28 12:16:00+00:00,Departed,AA 137
2026-02-28 12:17:00+00:00,Departed,UA 17
2026-02-28 12:19:00+00:00,Departed,LX 319
2026-02-28 12:20:00+00:00,Departed,BA 966
2026-02-28 12:21:00+00:00,Departed,QF 10
2026-02-28 12:23:00+00:00,Departed,BA 572
2026-02-28 12:24:00+00:00,Departed,UA 4
2026-02-28 12:25:00+00:00,Departed,BA 950
2026-02-28 12:26:00+00:00,Departed,BA 506
2026-02-28 12:28:00+00:00,Departed,BA 5
2026-02-28 12:29:00+00:00,Departed,AA 39
2026-02-28 12:30:00+00:00,Departed,VS 316
2026-02-28 12:33:00+00:00,Departed,ME 202
2026-02-28 12:34:00+00:00,Departed,EI 159
2026-02-28 12:35:00+00:00,Departed,UA 919
2026-02-28 12:36:00+00:00,Departed,BA 217
2026-02-28 12:37:00+00:00,Departed,CX 252
2026-02-28 12:39:00+00:00,Departed,A3 601
2026-02-28 12:40:00+00:00,Departed,EW 9465
2026-02-28 12:41:00+00:00,Departed,BA 169
2026-02-28 12:43:00+00:00,Departed,BA 416
2026-02-28 12:44:00+00:00,Departed,AC 856
2026-02-28 12:46:00+00:00,Departed,B6 20
2026-02-28 12:47:00+00:00,Departed,FI 451
2026-02-28 12:48:00+00:00,Departed,VS 358
2026-02-28 12:49:00+00:00,Departed,DL 21
2026-02-28 12:51:00+00:00,Departed,BA 868
2026-02-28 12:52:00+00:00,Departed,TP 1367
2026-02-28 12:53:00+00:00,Departed,BA 281
2026-02-28 12:54:00+00:00,Departed,VS 45
2026-02-28 12:56:00+00:00,Departed,BA 982
2026-02-28 12:57:00+00:00,Departed,BA 223
2026-02-28 12:58:00+00:00,Departed,BA 191
2026-02-28 13:00:00+00:00,Departed,AA 87
2026-02-28 13:02:00+00:00,Departed,BA 243
2026-02-28 13:03:00+00:00,Departed,AA 79
2026-02-28 13:04:00+00:00,Departed,UA 147
2026-02-28 13:05:00+00:00,Departed,VS 302
2026-02-28 13:07:00+00:00,Departed,FB 852
2026-02-28 13:08:00+00:00,Departed,BA 1398
2026-02-28 13:10:00+00:00,Departed,BA 684
2026-02-28 13:11:00+00:00,Departed,AC 857
2026-02-28 13:12:00+00:00,Departed,UL 506
2026-02-28 13:14:00+00:00,Departed,BA 81
2026-02-28 13:16:00+00:00,Departed,BA 273
2026-02-28 13:18:00+00:00,Departed,BA 826
2026-02-28 13:19:00+00:00,Departed,BA 902
2026-02-28 13:21:00+00:00,Departed,DL 17
2026-02-28 13:23:00+00:00,Departed,BA 716
2026-02-28 13:25:00+00:00,Departed,BA 219
2026-02-28 13:26:00+00:00,Departed,BA 177
2026-02-28 13:28:00+00:00,Departed,BA 736
2026-02-28 13:29:00+00:00,Departed,BA 438
2026-02-28 13:31:00+00:00,Departed,DL 31
2026-02-28 13:32:00+00:00,Departed,BA 394
2026-02-28 13:33:00+00:00,Departed,BA 924
2026-02-28 13:34:00+00:00,Departed,BA 372
2026-02-28 13:36:00+00:00,Departed,VS 157
2026-02-28 13:38:00+00:00,Departed,BA 484
2026-02-28 13:39:00+00:00,Departed,BA 780
2026-02-28 13:40:00+00:00,Departed,JU 211
2026-02-28 13:41:00+00:00,Departed,BA 310
2026-02-28 13:43:00+00:00,Departed,BA 67
2026-02-28 13:44:00+00:00,Departed,AC 865
2026-02-28 13:46:00+00:00,Departed,LH 907
2026-02-28 13:46:00+00:00,Departed,BA 464
2026-02-28 13:48:00+00:00,Departed,BA 738
2026-02-28 13:49:00+00:00,Departed,AA 109
2026-02-28 13:52:00+00:00,Departed,TP 1359
2026-02-28 13:53:00+00:00,Departed,UA 959
2026-02-28 13:55:00+00:00,Departed,BA 155
2026-02-28 13:56:00+00:00,Departed,UA 949
2026-02-28 13:58:00+00:00,Departed,BA 636
2026-02-28 13:59:00+00:00,Departed,AH 2055
2026-02-28 14:00:00+00:00,Departed,BA 1482
2026-02-28 14:01:00+00:00,Departed,BA 119
2026-02-28 14:03:00+00:00,Departed,LX 333
2026-02-28 14:05:00+00:00,Departed,BA 984
2026-02-28 14:05:00+00:00,Departed,BA 596
2026-02-28 14:07:00+00:00,Departed,EI 715
2026-02-28 14:08:00+00:00,Departed,BA 1452
2026-02-28 14:09:00+00:00,Departed,BA 225
2026-02-28 14:11:00+00:00,Departed,BA 998
2026-02-28 14:12:00+00:00,Departed,BA 556
